Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,26.040001,26.780001,25.049999,25.809999,25.809999,15990700
2022-03-22,25.700001,27.549999,25.530001,27.250000,27.250000,20673800
2022-03-23,27.049999,29.080000,26.750000,27.639999,27.639999,25826500
2022-03-24,27.639999,28.459999,26.910000,28.459999,28.459999,18275400
2022-03-25,28.219999,28.240000,27.020000,27.950001,27.950001,14137600
2022-03-28,27.809999,28.780001,27.410000,28.080000,28.080000,16377500
2022-03-29,28.049999,29.780001,27.850000,29.650000,29.650000,19803400
2022-03-30,29.260000,29.549999,28.240000,28.389999,28.389999,17433400
2022-03-31,28.389999,29.990000,28.360001,28.610001,28.610001,19295500
2022-04-01,28.790001,28.790001,27.860001,28.340000,28.340000,15325600
2022-04-04,28.639999,32.049999,28.559999,31.750000,31.750000,29569900
2022-04-05,31.780001,31.870001,30.370001,30.440001,30.440001,21393400
2022-04-06,29.639999,30.100000,27.650000,28.290001,28.290001,22337700
2022-04-07,28.200001,28.629999,26.520000,27.320000,27.320000,15941900
2022-04-08,27.200001,27.290001,25.969999,26.020000,26.020000,15241900
2022-04-11,25.370001,26.879999,25.340000,26.230000,26.230000,17857400
2022-04-12,26.490000,27.459999,25.709999,25.920000,25.920000,14102100
2022-04-13,25.959999,26.940001,25.540001,26.750000,26.750000,11345500
2022-04-14,26.790001,26.920000,25.760000,25.770000,25.770000,10764000
2022-04-18,25.780001,26.040001,24.719999,25.549999,25.549999,10560600
2022-04-19,27.219999,28.290001,26.340000,28.049999,28.049999,43802000
2022-04-20,28.049999,28.250000,26.610001,26.629999,26.629999,18555200
2022-04-21,26.950001,27.240000,22.690001,22.850000,22.850000,31295400
2022-04-22,23.070000,23.620001,21.740000,22.040001,22.040001,28612500
2022-04-25,21.520000,22.799999,21.309999,22.750000,22.750000,18772200
2022-04-26,22.549999,22.840000,21.870001,22.320000,22.320000,18370400
2022-04-27,22.230000,23.209999,21.959999,22.129999,22.129999,19188400
2022-04-28,22.309999,22.469999,20.080000,21.740000,21.740000,25532100
2022-04-29,21.790001,22.820000,20.969999,21.020000,21.020000,16368800
2022-05-02,20.799999,21.760000,20.290001,21.700001,21.700001,15995400
2022-05-03,21.469999,22.400000,21.270000,21.540001,21.540001,13716300
2022-05-04,21.600000,23.490000,21.150000,23.400000,23.400000,20129300
2022-05-05,22.990000,23.020000,20.910000,21.260000,21.260000,19774200
2022-05-06,20.910000,20.930000,18.760000,19.410000,19.410000,23001100
2022-05-09,18.719999,18.719999,16.549999,16.629999,16.629999,30230100
2022-05-10,16.770000,16.809999,15.090000,15.710000,15.710000,30519400
2022-05-11,15.740000,15.780000,13.400000,13.450000,13.450000,34183900
2022-05-12,13.060000,14.590000,12.700000,13.580000,13.580000,42725200
